#,Discourse Connector,Class,Category,BNC academic,COCA academic,BNC spoken,COCA spoken,BNC non-academic,COCA general,BNC all,COCA all
430,of note,Clarification,Emphasizing,2.2,2.2,0.7,0.5,2.3,1.6,1.9,1.3
431,put it another way,Apposition,Restatement,2.2,0.8,1.2,0.4,1,0.6,1.1,0.6
432,at any given time,Sequential,Timing,2.2,2,0.6,0.9,0.5,1.5,1.4,1.3
433,in the event that,Consequential,Conditional,2.1,1.9,0.2,1.5,0.7,0.7,1.3,1.1
434,of fundamental importance,Clarification,Emphasizing,2.1,0.3,0.2,0,0.7,0,0.6,0.1
435,without doubt,Clarification,Emphasizing,2.1,1.1,1.1,0.3,2.8,1.7,3,0.6
436,above all else,Clarification,Emphasizing,2,1.4,0.7,0.5,1,1.1,1.1,1
437,up to now,Sequential,Transitionals,2,1.2,4.1,2.3,3.7,1,2.8,1.4
438,of little value,Clarification,Emphasizing,2,0.6,0.1,0,0.6,0.1,0.7,0.2
439,with this in mind,Consequential,Resultative,2,1.5,0.6,0.1,2.1,0.5,1.6,0.6
440,conclude,Sequential,Timing,2,6.5,0,2.2,0.9,1,15,12.7
441,by any means,Clarification,Corroborative,1.9,1.2,2.2,3.6,3,1.7,2,1.9
442,identically,Comparison,,1.9,0.9,0.1,0.1,0.5,0.6,0.8,0.6
443,without exception,Sequential,Timing,1.9,1.8,0.7,0.6,2.1,0.9,1.6,1
444,with particular reference to,Clarification,Generalization,1.9,0.4,0.7,0,2.1,0,1.3,0.1
445,from now on,Sequential,Transitionals,1.9,1.2,4.3,3.8,2.6,2.1,5.2,3.3
446,more precisely,Contrastive,Reformulatory,1.8,1.9,0.1,0.1,0.8,0.5,2.3,2
447,in neither case,Clarification,Generalization,1.8,0.4,0.1,0.1,0.6,0.4,0.5,0.1
448,but this time,Sequential,Timing,1.7,1.6,2.8,4.2,2.9,4.1,5.6,4.7
449,as a matter of fact,Clarification,Corroborative,1.6,1.6,3.6,20.3,1.6,1.3,3.9,7
450,it is evident from,Clarification,Corroborative,1.6,0.5,0,0,0.4,0,0.4,0.1
451,one at a time,Sequential,Timing,1.6,1.7,4.8,4,2.2,3.6,2.2,3.5
452,of prime importance,Clarification,Emphasizing,1.6,0.3,0,0,0.7,0.1,0.7,0.1
453,which is to say,Apposition,Restatement,1.6,2.4,0.4,2.1,0.4,1.9,0.7,2.1
454,all in all,Summation,,1.6,1.8,2.3,1.9,3.5,2.5,3.2,2.3
455,roughly speaking,Clarification,Corroborative,1.6,0.5,0.9,0.2,0.7,0.2,0.6,0.2
456,that is to say,Apposition,Restatement,1.5,0.3,0.5,0.4,1,0.1,7.5,2.8
457,in as much as,Clarification,Emphasizing,1.4,0.4,3,0.3,1.1,0.3,1,0.3
458,of paramount importance,Clarification,Emphasizing,1.4,1.5,0.4,0.1,1.2,0.2,1.1,0.4
459,as illustrated by,Apposition,Exemplification,1.4,1.4,0,0,0.3,0.3,0.4,0.4
460,outwardly,Clarification,Corroborative,1.4,1.6,0,0.4,1.6,3.2,1.8,1.2
461,anyhow,Contrastive,Concessive,1.4,0.6,17.9,2.9,1.3,1.2,4.7,4
462,of critical importance,Clarification,Emphasizing,1.3,1.2,0.1,0.1,0.6,0.2,0.5,0.3
463,take note of,Clarification,Generalization,1.3,0.9,1.3,0.5,1,0.7,1.3,0.7
464,at any rate,Contrastive,Concessive,1.2,0.2,0.4,0.2,0.9,0.1,6.9,2.9
465,in the second place,Sequential,Ordering,1.2,0.4,0,0.3,0.2,0.1,0.4,0.2
466,at the right time,Sequential,Timing,1.2,1.3,3.7,2.5,1.5,3,2.5,2.3
467,aforementioned,Sequential,Transitionals,1.2,7.9,0.3,0.4,0.7,1.9,1.2,2.8
